cost_forecast_id;year;ship;sales;cost_forecast
1;2018;FirstClass;59278;70000
2;2018;SameDay;18969;30000
3;2018;SecondClass;99676;70000
4;2018;StandardClass;336453;300000
5;2019;FirstClass;81893;70000
6;2019;SameDay;31442;30000
7;2019;SecondClass;115262;110000
8;2019;StandardClass;352090;360000
9;2020;FirstClass;109478;95000
10;2020;SameDay;38202;30000
11;2020;SecondClass;144208;120000
12;2020;StandardClass;427638;400000
13;2021;FirstClass;169873;150000
14;2021;SameDay;59575;30000
15;2021;SecondClass;168109;130000
16;2021;StandardClass;501765;480000
